"Order ID","Order Key",Title,"Order Total","Completed Date","Order Status","Discount Amount ","Coupon Code","Coupons Used","Total Discount Amount","Total Fee Amount","Fee Taxes","Refund Total","Refund ID","Refund Amounts","Refund Reason","Refund Date","Refund Author Email"
1528,wc_order_5c63b9cf4ad15,"Order - February 13, 2019 @ 05:31 PM",44.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1533,wc_order_5c63c0f23088b,"Order - February 13, 2019 @ 06:02 PM",49.95,,wc-cancelled,,,,0,,,0,,,,,
1535,wc_order_5c63d56749ed5,"Order - February 13, 2019 @ 07:29 PM",99.95,,wc-pending,,,,0,,,0,,,,,
1537,wc_order_5c63e0f330b66,"Order - February 13, 2019 @ 08:18 PM",49.95,,wc-cancelled,,,,0,,,0,,,,,
1539,wc_order_5c64ac66bef9a,"Order - February 14, 2019 @ 10:46 AM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1543,wc_order_5c64e21f9f33d,"Order - February 14, 2019 @ 02:35 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1547,wc_order_5c64fd5fd91d4,"Order - February 14, 2019 @ 04:32 PM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1550,wc_order_5c656d500d0a5,"Order - February 15, 2019 @ 12:29 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1553,wc_order_5c65d50f987ce,"Order - February 15, 2019 @ 07:52 AM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1556,wc_order_5c660aa023f99,"Order - February 15, 2019 @ 11:41 AM",99.95,,wc-pending,,,,0,,,0,,,,,
1558,wc_order_5c660fd94ea51,"Order - February 15, 2019 @ 12:03 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1562,wc_order_5c664d976da84,"Order - February 15, 2019 @ 04:26 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1566,wc_order_5c666eb4d15af,"Order - February 15, 2019 @ 06:48 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1568,wc_order_5c667909d2e38,"Order - February 15, 2019 @ 07:32 PM",99.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1572,wc_order_5c669ee9ae84b,"Order - February 15, 2019 @ 10:13 PM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1575,wc_order_5c674b70a1672,"Order - February 16, 2019 @ 10:29 AM",99.95,,wc-pending,,,,0,,,0,,,,,
1577,wc_order_5c674c7741a41,"Order - February 16, 2019 @ 10:34 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1579,wc_order_5c675184182a1,"Order - February 16, 2019 @ 10:55 AM",199.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1583,wc_order_5c67880b4ea3a,"Order - February 16, 2019 @ 02:48 PM",49.95,,wc-cancelled,,,,0,,,0,,,,,
1586,wc_order_5c681dbbddbaf,"Order - February 17, 2019 @ 01:27 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1588,wc_order_5c68869df18e2,"Order - February 17, 2019 @ 08:54 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
1593,wc_order_5c68975e4a696,"Order - February 17, 2019 @ 10:06 AM",49.95,2019-03-27,wc-completed,,,,0,,,0,,,,,
